ASV,Kingdom,Phylum,Class,Order,Family,Genus,S23,S24,S25,S26,S27,S28,S29,S37,S38,S39,S40,S41,S42,S43
ASV_ 612,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Chroococcidiopsaceae,NA,0,0,0,0,0,7,0,0,0,0,0,0,0,0
ASV_ 613,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium sensu stricto 7,0,0,0,0,0,0,7,0,0,0,0,0,0,0
ASV_ 614,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,ZOR0006,0,0,0,0,0,0,0,0,0,0,7,0,0,0
ASV_ 615,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,NA,NA,0,0,0,0,0,0,0,0,0,0,0,7,0,0
ASV_ 616,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Ellin6055,0,0,0,0,0,0,0,0,0,0,0,0,7,0
ASV_ 617,Bacteria,Verrucomicrobiota,Chlamydiae,Chlamydiales,Parachlamydiaceae,NA,0,0,0,0,0,0,0,0,0,0,0,0,2,5
ASV_ 618,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,0,0,0,0,0,0,0,0,0,0,0,0,0,7
ASV_ 619,Bacteria,Proteobacteria,Gammaproteobacteria,Coxiellales,Coxiellaceae,Coxiella,0,0,0,0,0,0,0,0,0,0,0,0,0,7
ASV_ 62,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,0,0,0,0,0,0,0,66,148,0,1130,0,404,582
ASV_ 620,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,NA,NA,0,0,6,0,0,0,0,0,0,0,0,0,0,0
ASV_ 621,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,NA,0,0,0,6,0,0,0,0,0,0,0,0,0,0
ASV_ 622,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Pir4 lineage,0,0,0,6,0,0,0,0,0,0,0,0,0,0
ASV_ 623,Bacteria,Chloroflexi,Chloroflexia,Thermomicrobiales,JG30-KF-CM45,NA,0,0,0,6,0,0,0,0,0,0,0,0,0,0
ASV_ 624,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,0,0,0,6,0,0,0,0,0,0,0,0,0,0
ASV_ 625,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,NA,0,0,0,0,6,0,0,0,0,0,0,0,0,0
ASV_ 626,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,NA,0,0,0,0,6,0,0,0,0,0,0,0,0,0
ASV_ 627,Bacteria,Cyanobacteria,Vampirivibrionia,Obscuribacterales,Obscuribacteraceae,NA,0,0,0,0,6,0,0,0,0,0,0,0,0,0
ASV_ 628,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,NA,0,0,0,0,0,0,0,0,6,0,0,0,0,0
ASV_ 629,Bacteria,Bacteroidota,Bacteroidia,NA,NA,NA,0,0,0,0,0,0,0,0,0,6,0,0,0,0
ASV_ 63,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Neisseriaceae,NA,0,0,0,293,941,0,883,33,0,0,0,0,103,8
ASV_ 630,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Rubritaleaceae,Luteolibacter,0,0,0,0,0,0,0,0,0,0,6,0,0,0
ASV_ 631,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Microbacteriaceae,Agromyces,0,0,0,0,0,0,0,0,0,0,0,6,0,0
ASV_ 632,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Hydrogenophilaceae,Hydrogenophilus,0,0,0,0,0,0,0,0,0,0,0,6,0,0
ASV_ 633,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,NA,NA,0,0,0,0,0,0,0,0,0,0,0,6,0,0
ASV_ 634,Bacteria,Proteobacteria,Alphaproteobacteria,Reyranellales,Reyranellaceae,Reyranella,0,0,0,0,0,0,0,0,0,0,0,0,6,0
ASV_ 635,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,6,0
ASV_ 636,Bacteria,Desulfobacterota,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,6
ASV_ 637,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,6
ASV_ 638,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,6
ASV_ 639,Bacteria,Proteobacteria,Alphaproteobacteria,Reyranellales,Reyranellaceae,Reyranella,0,0,0,5,0,0,0,0,0,0,0,0,0,0
ASV_ 64,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Curvibacter,0,0,0,0,0,0,36,960,626,0,99,0,88,381
